2020-08-13 19:34:30,703 INFO 16720 [egg-logview] mount log G:\temp\temp\logs at http://127.0.0.1:7001/__logs
2020-08-13 19:39:55,124 INFO 16720 [-/127.0.0.1/-/51ms GET /] [access] 127.0.0.1: - GET / HTTP/200 794 - 40 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:40:03,743 INFO 16720 [-/127.0.0.1/-/2ms GET /admin] [access] 127.0.0.1: - GET /admin HTTP/200 788 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:40:08,696 INFO 16720 [-/127.0.0.1/-/1ms GET /] [access] 127.0.0.1: - GET / HTTP/200 794 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:40:41,082 INFO 16720 [-/127.0.0.1/-/16ms POST /admin/api/article/list] [access] 127.0.0.1: - POST /admin/api/article/list HTTP/200 2650 http://127.0.0.1:7001/admin/article/list 15 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:40:43,062 INFO 16720 [-/127.0.0.1/-/3ms POST /admin/api/article/list] [access] 127.0.0.1: - POST /admin/api/article/list HTTP/200 2650 http://127.0.0.1:7001/admin/article/list 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:40:44,717 INFO 16720 [-/127.0.0.1/-/1ms POST /admin/api/article/list] [access] 127.0.0.1: - POST /admin/api/article/list HTTP/200 2650 http://127.0.0.1:7001/admin/article/list 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:40:57,197 INFO 16720 [-/127.0.0.1/-/0ms GET /login] [access] 127.0.0.1: - GET /login HTTP/404 - http://127.0.0.1:7001/admin/article/list 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:41:15,924 INFO 16720 [-/127.0.0.1/-/0ms GET /article/list] [access] 127.0.0.1: - GET /article/list HTTP/404 - - 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:41:18,537 INFO 16720 [-/127.0.0.1/-/1ms GET /article/list] [access] 127.0.0.1: - GET /article/list HTTP/404 - - 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:41:27,430 INFO 16720 [-/127.0.0.1/-/2ms GET /admin/article/list] [access] 127.0.0.1: - GET /admin/article/list HTTP/200 811 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:41:27,860 INFO 16720 [-/127.0.0.1/-/1ms POST /admin/api/article/list] [access] 127.0.0.1: - POST /admin/api/article/list HTTP/200 2650 http://127.0.0.1:7001/admin/article/list 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:41:32,787 INFO 16720 [-/127.0.0.1/-/1ms GET /admin/api/article/49] [access] 127.0.0.1: - GET /admin/api/article/49 HTTP/200 306 http://127.0.0.1:7001/admin/article/detail/49 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
2020-08-13 19:41:42,608 INFO 16720 [-/127.0.0.1/-/1ms POST /admin/api/article/list] [access] 127.0.0.1: - POST /admin/api/article/list HTTP/200 2650 http://127.0.0.1:7001/admin/article/list 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
